Part,ElementID,vonMises_Pa,Sxx_Pa,Syy_Pa,Szz_Pa,Sxy_Pa,Syz_Pa,Szx_Pa
PART_000_R31G119B180A255,15165,387999.5,28192.53,-81645.48,893961.5,-74285.72,-14677.43,1611132.7696869029
PART_000_R31G119B180A255,15166,374943.2,25153.56,-74873.36,852787.6,-110895.3,-24254.18,1545232.9040902192
PART_000_R31G119B180A255,15167,353356.9,20134.84,-59764.42,870770.4,-169846.6,-34957.21,1583975.3532694187
PART_000_R31G119B180A255,15168,298756.5,4493.729,-41326.59,739403.8,-188982.4,-46352.18,1362320.0243451467
PART_000_R31G119B180A255,15169,215806.5,29344.85,-13223.65,814875.3,12283.77,-26129.32,1427964.837668804
PART_000_R31G119B180A255,15170,125472.6,-9643.024,-19157.83,562686.8,451963.7,30642.81,1259012.3791217997
PART_000_R31G119B180A255,15171,172278.4,28117.33,-9622.082,1063119.0,461728.8,29308.77,2015060.9722945855
PART_000_R31G119B180A255,15172,182414.5,31158.62,-29779.61,1066973.0,161078.3,12088.14,1878664.4853405964
PART_000_R31G119B180A255,15173,192823.2,44345.51,-36761.99,1001150.0,159630.4,8947.743,1767556.6335629881
PART_000_R31G119B180A255,15174,198973.9,44198.6,-39525.09,1030711.0,78041.6,-53.77656,1802578.816092267
PART_000_R31G119B180A255,15175,198984.7,44973.83,-41484.0,1018717.0,11093.87,-2480.128,1777146.7028046667
PART_000_R31G119B180A255,15176,199729.5,43737.34,-41656.71,1013664.0,-81366.46,-8770.385,1774142.8567489868
PART_000_R31G119B180A255,15177,192376.1,39096.29,-38903.89,972080.5,-121925.6,-13945.29,1709250.4338423952
PART_000_R31G119B180A255,15178,183410.6,31806.63,-30974.93,990689.9,-189172.1,-19750.91,1757660.7184588648
PART_000_R31G119B180A255,15179,157542.4,16831.33,-22099.41,842990.7,-210446.4,-25497.22,1514432.745677509
PART_000_R31G119B180A255,15180,113876.5,21984.6,-6885.096,927801.5,9907.725,-15332.68,1611017.4127951968
PART_000_R31G119B180A255,15181,22596.99,11825.85,-1529.573,527309.2,385762.1,8210.415,1131919.8917140148
PART_000_R31G119B180A255,15182,32614.49,35865.98,-2146.584,1124766.0,474097.0,9112.162,2114516.6314600827
PART_000_R31G119B180A255,15183,30710.23,45346.61,-931.7111,1105005.0,169660.9,5994.137,1936814.1267572665
PART_000_R31G119B180A255,15184,30163.08,50783.73,-3680.783,1046178.0,163727.3,5776.374,1834735.324116367
PART_000_R31G119B180A255,15185,30757.8,56687.78,-5747.182,1075702.0,80985.95,2134.409,1869236.680796824
PART_000_R31G119B180A255,15186,29745.4,58000.33,-5061.624,1062803.0,11364.45,-709.0782,1841747.2549157657
PART_000_R31G119B180A255,15187,30914.11,56670.74,-5887.682,1058622.0,-82711.56,-3207.974,1839989.6093292765
PART_000_R31G119B180A255,15188,30096.38,51702.24,-5785.941,1014632.0,-126115.1,-7095.964,1771674.3555975475
PART_000_R31G119B180A255,15189,30620.1,44369.89,-4518.907,1032971.0,-196706.3,-8494.974,1821892.0989336611
PART_000_R31G119B180A255,15190,28268.36,31018.06,-5030.456,879880.2,-220195.5,-10518.33,1571485.1298266503
PART_000_R31G119B180A255,15191,20991.98,16067.44,-3346.835,966661.3,10165.48,-6468.065,1674584.872988016
PART_000_R31G119B180A255,15192,-114170.4,30941.4,19909.84,555950.5,451516.6,-17551.5,1248738.1956683495
PART_000_R31G119B180A255,15193,-103781.1,39640.9,13872.12,1072341.0,461551.1,-10223.92,2026495.8895439827
PART_000_R31G119B180A255,15194,-122958.2,49632.95,28070.28,1075112.0,163069.7,1116.833,1890478.1110971905
PART_000_R31G119B180A255,15195,-132593.6,52551.57,26676.34,1012136.0,163223.1,3137.283,1784200.1860462404
PART_000_R31G119B180A255,15196,-137425.8,61882.16,29325.88,1043618.0,78288.99,3615.758,1822124.352861301
PART_000_R31G119B180A255,15197,-139850.2,63534.5,31694.62,1031418.0,12250.65,1692.228,1796616.672544744
PART_000_R31G119B180A255,15198,-137727.1,62450.03,31011.86,1026634.0,-80677.9,2165.832,1793387.574469869
PART_000_R31G119B180A255,15199,-132411.9,57678.35,27933.57,983091.6,-120607.2,109.0286,1724647.926425803
PART_000_R31G119B180A255,15200,-121219.7,52058.96,23776.08,1001090.0,-188611.6,2747.635,1771782.6659957787
PART_000_R31G119B180A255,15201,-101462.3,40041.52,11470.93,846916.4,-211949.1,4262.666,1517702.441773907
PART_000_R31G119B180A255,15202,-71490.56,4651.384,-1042.926,930879.5,11218.11,1730.31,1614122.9492898274
PART_000_R31G119B180A255,15203,-45296.13,142235.2,-1052.493,446804.7,402517.0,-20995.95,1055989.605298455
PART_000_R31G119B180A255,15204,-279523.1,42454.95,29354.19,970032.9,439996.0,-27463.53,1872315.9442710183
PART_000_R31G119B180A255,15205,-294496.7,22653.59,44419.35,949210.4,148299.6,-4397.853,1696171.7364905954
PART_000_R31G119B180A255,15206,-314529.3,42680.79,56303.56,895549.9,151633.6,-1528.493,1614826.5987862267
PART_000_R31G119B180A255,15207,-326285.9,48231.03,67131.94,928383.1,70228.83,3286.222,1657773.5341699407
PART_000_R31G119B180A255,15208,-330376.7,49261.32,73134.98,914853.0,11274.93,5260.942,1632510.571599022
PART_000_R31G119B180A255,15209,-325560.0,49373.15,71952.39,912715.3,-71733.06,9700.956,1632304.2830675931
PART_000_R31G119B180A255,15210,-314494.5,44618.38,64538.7,868524.7,-107074.5,10902.87,1560214.5525921264
PART_000_R31G119B180A255,15211,-291206.7,40931.68,54180.05,885406.0,-166137.1,18995.95,1597062.9968077526
PART_000_R31G119B180A255,15212,-241891.1,36623.69,31025.65,743485.3,-188979.3,24653.73,1357688.038544957
PART_000_R31G119B180A255,15213,-173200.0,-17423.13,3758.534,816145.6,16645.51,10871.04,1423896.5510793694
PART_000_R31G119B180A255,15214,-138195.3,189235.9,-11418.23,355195.7,325818.3,-70270.48,890814.974541331
PART_000_R31G119B180A255,15215,-514078.2,-15853.97,11515.33,743811.8,360609.9,-55124.59,1523684.7288791328
PART_000_R31G119B180A255,15216,-507366.0,5533.656,59130.72,742848.1,123193.3,-12814.41,1412416.6920243448
PART_001_R158G218B229A255,15217,-555664.9,20641.17,91344.51,691006.6,118557.7,-16405.84,1361366.9658817719
PART_001_R158G218B229A255,15218,-566522.3,21218.84,117163.6,718353.5,55429.76,928.9274,1402979.3097994886
PART_001_R158G218B229A255,15219,-576433.2,20469.95,123414.6,708831.6,10300.43,10044.53,1391505.1717845642
